"Ingredient_subcode","Ingredient_description","Ingredient_weight_g","entry","food_V2_ID","foodb_id","orig_food_id","orig_food_common_name"
12155,"nuts walnuts english",7,"83",851,94,12155,"nuts walnuts english"
9267,"pineapple canned water pack solids liquids",92,"84",264,12,9267,"pineapple canned water pack solids liquids"
21229,"fast chicken breaded fried boneless pieces plain",100,"85",9014,334,NA,"chicken flesh skin battered deepfried"
11398,"potato puffs frozen unprepared",100,"86",8329,876,11398,"potato puffs frozen unprepared"
18142,"cake pudding type yellow dry mix",467.775,"87",5044,654,18142,"cake yellow dry mix pudding type"
9195,"olives pickled canned bottled green",86,"88",941,121,9195,"olives pickled canned bottled green"
21471,"fast fried chicken thigh meat skin breading",30,"89",9014,334,NA,"chicken flesh skin battered deepfried"
1029,"cheese mozzarella low moisture part skim",4,"90",4759,631,1029,"cheese mozzarella part skim milk low moisture"
20121,"pasta cooked enriched without added salt",140,"91",2200,274,20121,"spaghetti cooked enriched without added salt"
22959,"macaroni cheese dinner with dry sauce mix boxed uncooked",205.538,"92",7580,784,22959,"macaroni cheese dinner with dry sauce mix boxed uncooked"
1001,"butter salted",14,"93",5489,667,1001,"butter salted"
18069,"bread white commercially prepared includes soft bread crumbs",56,"94",8020,836,18069,"bread white commercially prepared includes soft bread crumbs"
4700,"oil industrial soy ultra low linolenic",25,"95",780,85,4700,"oil industrial soy ultra low linolenic"
18029,"bread french vienna includes sourdough",100,"96",8012,836,18029,"bread french vienna includes sourdough"
23575,"beef ground 80 lean meat / 20 fat crumbles cooked pan browned",428.652,"97",3747,506,23575,"beef ground 80 lean meat / 20 fat crumbles cooked pan browned"
1252,"cheese product pasteurized process american vitamin d fortified",20,"98",7116,735,1252,"cheese product pasteurized process american vitamin d fortified"
1253,"cheese pasteurized process american without added vitamin d",30,"99",4793,631,1253,"cheese pasteurized process american without added vitamin d"
11333,"peppers sweet green raw",40,"100",499,40,11333,"peppers sweet green raw"
